,PC1,PC2
414C2_C34,20.342787782043114,-6.429887801654275
414C2_C34.1,8.72363406074868,-2.739864961112265
414C2_C34.2,5.14913858832845,-1.6046729967894757
414C2_DAPT,12.582787966873495,-3.965459044842231
414C2_DAPT.1,18.532378106958546,-5.854936027020552
414C2_DAPT.2,9.553470102358823,-3.0034051483665616
414C2_control,9.07894519157606,-2.8527050370507556
414C2_control.1,7.8668623792301595,-2.4677705255133238
414C2_control.2,8.818623550613424,-2.7700318214206834
B7_C34,23.32171938853298,-7.375939978261121
B7_C34.1,46.17286739887401,-14.633031166944583
B7_C34.2,28.376724740954288,-8.981313799532733
B7_DAPT,30.61588336152475,-9.692428107140076
B7_DAPT.1,31.114991895816516,-9.850935511002946
B7_DAPT.2,28.658727678871525,-9.070872583844835
B7_control,22.773199206328123,-7.201740372215396
B7_control.1,20.76131182833577,-6.562803100580529
B7_control.2,25.777646608925544,-8.155895881706023
